job,system,filing_year,borough,building_type,stories,size,filing_to_signoff_days,filing_to_signoff_months,filing_to_permit_days,filing_to_permit_months,filing_to_co_days,filing_to_co_months,has_co,pc_filed
302318383,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),719,23.6,,,,,False,Y
302318392,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),714,23.5,,,,,False,Y
302318409,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),714,23.5,,,,,False,Y
302318622,BIS,2007,BROOKLYN,OTHERS,3,Small (1-3 fl),2397,78.7,,,2397,78.7,True,Y
302318784,BIS,2007,BROOKLYN,OTHERS,0,Small (1-3 fl),3761,123.6,,,3304,108.5,True,Y
302318926,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),715,23.5,,,,,False,Y
302319569,BIS,2007,BROOKLYN,OTHERS,4,Mid (4-10 fl),1015,33.3,,,,,False,Y
302319612,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),308,10.1,,,,,False,Y
302319667,BIS,2007,BROOKLYN,OTHERS,7,Mid (4-10 fl),1344,44.2,,,,,False,Y
302319676,BIS,2007,BROOKLYN,OTHERS,6,Mid (4-10 fl),2519,82.8,,,2467,81.0,True,Y
302319694,BIS,2007,BROOKLYN,OTHERS,0,Small (1-3 fl),4956,162.8,,,3734,122.7,True,Y
302319710,BIS,2007,BROOKLYN,1-2-3 FAMILY,2,Small (1-3 fl),4170,137.0,,,4170,137.0,True,Y
