job,system,filing_year,borough,building_type,stories,size,filing_to_signoff_days,filing_to_signoff_months,filing_to_permit_days,filing_to_permit_months,filing_to_co_days,filing_to_co_months,has_co,pc_filed
B00554452-S3,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),990,32.5,102,3.4,,,False,
B00554452-S4,DOB NOW,2022,BROOKLYN,OTHERS,0,Large (11-30 fl),973,32.0,376,12.4,,,False,
B00554452-S5,DOB NOW,2022,BROOKLYN,OTHERS,0,Large (11-30 fl),1057,34.7,374,12.3,,,False,
B00554552-S5,DOB NOW,2022,BROOKLYN,OTHERS,0,Large (11-30 fl),817,26.8,224,7.4,,,False,
B00556615-S1,DOB NOW,2023,BROOKLYN,OTHERS,0,Small (1-3 fl),859,28.2,44,1.4,,,False,
B00556615-S4,DOB NOW,2023,BROOKLYN,OTHERS,0,Small (1-3 fl),605,19.9,313,10.3,,,False,
B00556615-S5,DOB NOW,2025,BROOKLYN,OTHERS,0,Small (1-3 fl),48,1.6,43,1.4,,,False,
B00557447-S1,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),761,25.0,188,6.2,,,False,
B00557447-S2,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),761,25.0,220,7.2,,,False,
B00557447-S3,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),817,26.8,321,10.5,,,False,
B00557447-S4,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),830,27.3,335,11.0,,,False,
B00557447-S5,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),755,24.8,119,3.9,,,False,
B00557447-S6,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),740,24.3,529,17.4,,,False,
B00557447-S7,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),740,24.3,474,15.6,,,False,
B00557447-S9,DOB NOW,2023,BROOKLYN,OTHERS,0,Large (11-30 fl),174,5.7,4,0.1,,,False,
