job,filing_year,borough,building_type,stories,size,filing_to_signoff_days,filing_to_signoff_months,filing_to_co_days,filing_to_co_months,has_co,pc_filed
421382462,2016,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),1158,38.0,752,24.7,True,
421382471,2016,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),1158,38.0,752,24.7,True,
421382596,2016,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),1253,41.2,913,30.0,True,
421383050,2016,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),726,23.9,698,22.9,True,
421383069,2016,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),726,23.9,698,22.9,True,
421383078,2017,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),1061,34.9,765,25.1,True,
421383096,2017,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),1012,33.2,603,19.8,True,
421383103,2016,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),1205,39.6,752,24.7,True,
421383112,2016,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),1161,38.1,913,30.0,True,
421383121,2016,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),1192,39.2,913,30.0,True,
421383130,2016,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),722,23.7,694,22.8,True,
421383149,2016,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),726,23.9,698,22.9,True,
421384512,2016,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),1264,41.5,1264,41.5,True,
421384772,2016,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),1264,41.5,1264,41.5,True,
421384914,2017,QUEENS,OTHERS,0,Small (1-3 fl),732,24.0,732,24.0,True,
421385502,2017,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),583,19.2,583,19.2,True,
421385520,2017,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),1069,35.1,764,25.1,True,
421385539,2017,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),1012,33.2,765,25.1,True,
421385548,2017,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),1012,33.2,803,26.4,True,
421385557,2017,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),1006,33.0,758,24.9,True,
421386011,2016,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),1030,33.8,1030,33.8,True,
421386155,2016,QUEENS,1-2-3 FAMILY,0,Small (1-3 fl),666,21.9,666,21.9,True,
421386397,2017,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),967,31.8,967,31.8,True,
421387207,2017,QUEENS,1-2-3 FAMILY,0,Small (1-3 fl),1516,49.8,1516,49.8,True,
421387582,2016,QUEENS,OTHERS,2,Small (1-3 fl),2758,90.6,2758,90.6,True,
421388475,2016,QUEENS,1-2-3 FAMILY,4,Mid (4-10 fl),2376,78.1,2376,78.1,True,
421388974,2017,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),491,16.1,491,16.1,True,
421389330,2016,QUEENS,OTHERS,1,Small (1-3 fl),1769,58.1,1769,58.1,True,
421390569,2016,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),1814,59.6,1814,59.6,True,
421390836,2016,QUEENS,OTHERS,3,Small (1-3 fl),1942,63.8,1942,63.8,True,
421390907,2016,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),1999,65.7,1999,65.7,True,
421391826,2017,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),2207,72.5,2207,72.5,True,
421392530,2017,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),560,18.4,560,18.4,True,
421392736,2016,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),816,26.8,816,26.8,True,
421392754,2017,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),757,24.9,757,24.9,True,
421393156,2016,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),1298,42.6,1240,40.7,True,
421393511,2017,QUEENS,OTHERS,0,Small (1-3 fl),1634,53.7,1634,53.7,True,
421393548,2017,QUEENS,OTHERS,0,Small (1-3 fl),1275,41.9,1058,34.8,True,
421393708,2016,QUEENS,OTHERS,0,Small (1-3 fl),1486,48.8,1385,45.5,True,
421394217,2017,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),891,29.3,891,29.3,True,
421394226,2017,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),891,29.3,891,29.3,True,
421394235,2017,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),734,24.1,734,24.1,True,
421394404,2017,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),1428,46.9,1428,46.9,True,
421394422,2017,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),634,20.8,634,20.8,True,
421394510,2017,QUEENS,OTHERS,0,Small (1-3 fl),1279,42.0,1114,36.6,True,
421394921,2017,QUEENS,OTHERS,0,Small (1-3 fl),695,22.8,695,22.8,True,
421395029,2016,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),895,29.4,895,29.4,True,
421395751,2016,QUEENS,OTHERS,8,Mid (4-10 fl),2572,84.5,1498,49.2,True,
